palabra,pagina,palabra_busqueda,cantidad,fechaini,fechafin
link,https://www.lanacion.com.ar/2126604-la-oposicion-convoco-a-una-sesion-para-debatir-limites-en-las-subas-de-los-servicios,servicios,1,20180417,20180417
canonical,https://www.lanacion.com.ar/2126604-la-oposicion-convoco-a-una-sesion-para-debatir-limites-en-las-subas-de-los-servicios,servicios,1,20180417,20180417
link,https://www.lanacion.com.ar/2126604-la-oposicion-convoco-a-una-sesion-para-debatir-limites-en-las-subas-de-los-servicios,servicios,1,20180417,20180417
amphtml,https://www.lanacion.com.ar/2126604-la-oposicion-convoco-a-una-sesion-para-debatir-limites-en-las-subas-de-los-servicios,servicios,1,20180417,20180417
menu,https://www.lanacion.com.ar/2126604-la-oposicion-convoco-a-una-sesion-para-debatir-limites-en-las-subas-de-los-servicios,servicios,1,20180417,20180417
buscar,https://www.lanacion.com.ar/2126604-la-oposicion-convoco-a-una-sesion-para-debatir-limites-en-las-subas-de-los-servicios,servicios,1,20180417,20180417
suscribite,https://www.lanacion.com.ar/2126604-la-oposicion-convoco-a-una-sesion-para-debatir-limites-en-las-subas-de-los-servicios,servicios,1,20180417,20180417
ingresar,https://www.lanacion.com.ar/2126604-la-oposicion-convoco-a-una-sesion-para-debatir-limites-en-las-subas-de-los-servicios,servicios,1,20180417,20180417
submit,https://www.lanacion.com.ar/2126604-la-oposicion-convoco-a-una-sesion-para-debatir-limites-en-las-subas-de-los-servicios,servicios,1,20180417,20180417
cuenta,https://www.lanacion.com.ar/2126604-la-oposicion-convoco-a-una-sesion-para-debatir-limites-en-las-subas-de-los-servicios,servicios,1,20180417,20180417
suscripciones,https://www.lanacion.com.ar/2126604-la-oposicion-convoco-a-una-sesion-para-debatir-limites-en-las-subas-de-los-servicios,servicios,1,20180417,20180417
ayuda,https://www.lanacion.com.ar/2126604-la-oposicion-convoco-a-una-sesion-para-debatir-limites-en-las-subas-de-los-servicios,servicios,1,20180417,20180417
salir,https://www.lanacion.com.ar/2126604-la-oposicion-convoco-a-una-sesion-para-debatir-limites-en-las-subas-de-los-servicios,servicios,1,20180417,20180417
submit,https://www.lanacion.com.ar/2126604-la-oposicion-convoco-a-una-sesion-para-debatir-limites-en-las-subas-de-los-servicios,servicios,1,20180417,20180417
