palabra,pagina,palabra_busqueda,cantidad,fechaini,fechafin
enganche,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
radar,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
turismo,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
radar,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
libros,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
universidad,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
satira,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
rosario,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
verano,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
libero,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
especiales,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
buscar,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
search,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
edicion,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
impresa,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
abril,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
escuchaam,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
vivo,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
newsletter,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
submit,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
pais,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
abril,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
pesar,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
criticas,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
cambiemos,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
pena,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
descarto,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
revisar,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
aumentos,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
tarifazo,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
toca,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
jefe,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
gabinete,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
dijo,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
cuestionamientos,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
elisa,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
carrio,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
radicalismo,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
aumentos,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
tarifas,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
observaciones,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
puntuales,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
limito,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
ofrecer,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
enviarles,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
toda,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
informacion,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
requerida,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
obstante,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
rechazo,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
plano,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
pueda,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
evaluarse,https://www.pagina12.com.ar/108766-el-tarifazo-no-se-toca,tarifazo,1,20180417,20180417
