palabra,pagina,palabra_busqueda,cantidad,fechaini,fechafin
ales,https://www.pagina12.com.ar/108470-las-facturas-impagables,tarifazo,1,20180415,20180415
sobre,https://www.pagina12.com.ar/108470-las-facturas-impagables,tarifazo,1,20180415,20180415
ruedas,https://www.pagina12.com.ar/108470-las-facturas-impagables,tarifazo,1,20180415,20180415
suplementos,https://www.pagina12.com.ar/108470-las-facturas-impagables,tarifazo,1,20180415,20180415
cash,https://www.pagina12.com.ar/108470-las-facturas-impagables,tarifazo,1,20180415,20180415
enganche,https://www.pagina12.com.ar/108470-las-facturas-impagables,tarifazo,1,20180415,20180415
radar,https://www.pagina12.com.ar/108470-las-facturas-impagables,tarifazo,1,20180415,20180415
turismo,https://www.pagina12.com.ar/108470-las-facturas-impagables,tarifazo,1,20180415,20180415
radar,https://www.pagina12.com.ar/108470-las-facturas-impagables,tarifazo,1,20180415,20180415
libros,https://www.pagina12.com.ar/108470-las-facturas-impagables,tarifazo,1,20180415,20180415
universidad,https://www.pagina12.com.ar/108470-las-facturas-impagables,tarifazo,1,20180415,20180415
satira,https://www.pagina12.com.ar/108470-las-facturas-impagables,tarifazo,1,20180415,20180415
rosario,https://www.pagina12.com.ar/108470-las-facturas-impagables,tarifazo,1,20180415,20180415
verano,https://www.pagina12.com.ar/108470-las-facturas-impagables,tarifazo,1,20180415,20180415
libero,https://www.pagina12.com.ar/108470-las-facturas-impagables,tarifazo,1,20180415,20180415
especiales,https://www.pagina12.com.ar/108470-las-facturas-impagables,tarifazo,1,20180415,20180415
buscar,https://www.pagina12.com.ar/108470-las-facturas-impagables,tarifazo,1,20180415,20180415
search,https://www.pagina12.com.ar/108470-las-facturas-impagables,tarifazo,1,20180415,20180415
edicion,https://www.pagina12.com.ar/108470-las-facturas-impagables,tarifazo,1,20180415,20180415
impresa,https://www.pagina12.com.ar/108470-las-facturas-impagables,tarifazo,1,20180415,20180415
abril,https://www.pagina12.com.ar/108470-las-facturas-impagables,tarifazo,1,20180415,20180415
escuchaam,https://www.pagina12.com.ar/108470-las-facturas-impagables,tarifazo,1,20180415,20180415
vivo,https://www.pagina12.com.ar/108470-las-facturas-impagables,tarifazo,1,20180415,20180415
