palabra,pagina,palabra_busqueda,cantidad,fechaini,fechafin
radar,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
turismo,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
radar,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
libros,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
universidad,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
satira,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
rosario,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
verano,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
libero,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
especiales,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
buscar,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
search,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
edicion,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
impresa,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
abril,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
escuchaam,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
vivo,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
newsletter,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
submit,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
pais,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
abril,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
camioneros,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
convocaron,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
protesta,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
proximo,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
jueves,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
movilizacion,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
contra,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
tarifazo,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
espacios,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
gremiales,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
lideran,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
moyano,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
yasky,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
micheli,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
volveran,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
confluir,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
esta,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
marcha,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
obelisco,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
congreso,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
para,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
rechazar,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
aumento,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
servicios,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
medida,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
coordinada,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
pymes,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
empresas,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
recuperadas,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
clubes,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
otras,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
organizaciones,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
laura,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
vales,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
imagen,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
gremio,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
camioneros,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
vuelven,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
salir,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
conjunto,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
calle,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
esta,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
marcha,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
contra,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
tarifazo,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
convocaron,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
para,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
jueves,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
viene,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
movili,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
zacion,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
velas,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
desde,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
obelisco,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
congreso,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
expresara,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
rechazo,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
violentas,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
subas,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
servicios,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
publicos,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
protesta,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
coordinada,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
pymes,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
empresas,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
recuperadas,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
clubes,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
barrio,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
asociaciones,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
consumidores,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
arco,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
organizaciones,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
integra,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
multisectoriales,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
contra,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
tarifazo,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
hugo,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
yasky,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
pablo,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
micheli,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
pablo,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
moyano,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
buscan,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
darle,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
continuidad,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
confluencia,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
contra,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
politicas,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
gobierno,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
nacional,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
comenzo,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
meses,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
masivas,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
protestas,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
contra,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
reforma,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
jubilatoria,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
fines,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
pasado,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
siguio,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
movilizacion,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
febrero,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
seguimos,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
reuniendo,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
todas,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
semanas,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
definimos,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
ahora,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
serie,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
acciones,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
primera,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
contra,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
tarifazo,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
porque,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
carga,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
afecta,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
tremendamente,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
pobres,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
clases,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
media,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
trabajadores,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
pymes,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
dijo,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
micheli,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
paginai,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
marcha,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
realizara,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
jueves,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
partir,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
concentracion,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
inicial,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
obelisco,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
organizadores,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
tienen,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
intencion,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
replicar,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
protesta,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
portena,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
otras,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
ciudades,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
interior,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
sumarle,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
movida,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
redes,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
movilizacion,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
sera,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
antecedida,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
miercoles,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
ruidazo,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
convocan,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
multisectoriales,https://www.pagina12.com.ar/107668-una-movilizacion-contra-el-tarifazo,tarifazo,1,20180412,20180412
