palabra,pagina,palabra_busqueda,cantidad,fechaini,fechafin
elerar,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
ayuda,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
sequia,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
etchevehere,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
encabezo,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
reunion,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
mesa,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
enlace,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
etchevehere,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
encabezo,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
reunion,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
mesa,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
enlace,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
credito,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
agroindustria,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
submit,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
submit,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
submit,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
submit,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
submit,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
abril,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
ministro,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
agroindustria,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
nacion,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
luis,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
miguel,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
etchevehere,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
reunio,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
mesa,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
enlace,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
para,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
debatir,https://www.lanacion.com.ar/2126529-el-campo-pidio-acelerar-la-ayuda-por-la-sequia,daniel+pelegrina,1,20180417,20180417
