palabra,pagina,palabra_busqueda,cantidad,fechaini,fechafin
rios,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
restaurante,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
central,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
palermo,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
esto,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
seria,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
verdadero,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
escandalo,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
implicancias,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
politicas,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
daria,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
modo,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
protesta,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
votaron,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
contra,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
opusieron,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
pago,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
bono,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
medio,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
millon,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
pesos,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
concepto,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
retribucion,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
extraordinaria,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
ministro,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
ademas,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
entre,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
socios,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
cayo,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
nada,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
bien,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
enterarse,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
etchevehere,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
reunion,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
delegados,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
zonales,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
medio,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
campana,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
electoral,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
enfrentara,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
actual,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
presidente,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
daniel,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
pelegrina,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
alberto,http://www.lapoliticaonline.com/nota/112402/,daniel+pelegrina,1,20180415,20180415
