palabra,pagina,palabra_busqueda,cantidad,fechaini,fechafin
raria,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
argentina,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
expreso,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
funcionario,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
lncampo,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
emite,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
senal,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
gobierno,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
esta,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
cumpliendo,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
promesa,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
bajando,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
todos,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
meses,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
retenciones,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
senalo,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
etchevehere,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
desde,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
enero,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
pasado,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
derechos,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
exportacion,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
cultivo,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
reducen,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
nivel,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
consultado,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
sobre,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
planteo,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
baja,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
retenciones,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
etchevehere,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
categorico,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
tenemos,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
pensado,https://www.lanacion.com.ar/2129814-etchevehere-no-tenemos-pensado-acelerar-la-reduccion-de-las-retenciones-en-soja,daniel+pelegrina+argentina,1,20180430,20180430
